iso3,analysis_type,hazard,frequency,return_period,displacement,displacement_over_pop,population
ALB,Hybrid,Total,10,0.1,4,0.00000137755277749079,2903700
ALB,Hybrid,Total,9.133135384187,0.109491424131453,5.15279628032383,0.00000177456220695107,2903700
ALB,Hybrid,Total,8.27847422858428,0.120795206023249,6.63782737662977,0.00000228598938479518,2903700
ALB,Hybrid,Total,7.44821999340216,0.134260266330187,8.55084305393238,0.00000294480939970809,2903700
ALB,Hybrid,Total,6.6545761388509,0.150272531132641,11.0151880704839,0.00000379350073026962,2903700
ALB,Hybrid,Total,5.90974612514081,0.169212006543881,14.1897550291642,0.00000488678411308475,2903700
ALB,Hybrid,Total,5.22593341248217,0.1913533757647,18.2792292332459,0.00000629515075016217,2903700
ALB,Hybrid,Total,4.67125660228747,0.214075159029009,23.547286100064,0.00000810940734237835,2903700
ALB,Hybrid,Total,4.19224126536123,0.238535889683304,30.3335920570327,0.0000104465309973595,2903700
ALB,Hybrid,Total,3.74932238399305,0.266714861402501,39.0757050800846,0.0000134572115163704,2903700
ALB,Hybrid,Total,3.34086955158173,0.299323270352341,50.3372869469228,0.0000173355673612711,2903700
ALB,Hybrid,Total,2.96525236152602,0.337239424534297,64.8444462354242,0.0000223316617541152,2903700
ALB,Hybrid,Total,2.62084040722471,0.381556998756339,83.5325553403881,0.0000287676259050136,2903700
ALB,Hybrid,Total,2.30600328207656,0.4336507271141,107.606560110974,0.0000370584289392754,2903700
ALB,Hybrid,Total,2.01911057948035,0.495267574823647,138.618670669567,0.0000477386336982357,2903700
ALB,Hybrid,Total,1.75853189283484,0.568656163743468,178.568442652395,0.0000614968635370028,2903700
ALB,Hybrid,Total,1.52263681553882,0.656755432283522,230.03170177062,0.0000792202024212625,2903700
ALB,Hybrid,Total,1.30979494099104,0.76347828862689,296.326624310052,0.000102051391090695,2903700
ALB,Hybrid,Total,1.15191308838158,0.868121050178347,381.727681876439,0.000131462507103502,2903700
ALB,Hybrid,Total,1.01417274980564,0.986025309979627,491.741244817387,0.000169349879401242,2903700
ALB,Hybrid,Total,0.891771093256623,1.12136399975485,633.46061429421,0.000218156357163002,2903700
ALB,Hybrid,Total,0.781630867784096,1.27937629028773,816.023374266713,0.000281028816429629,2903700
ALB,Hybrid,Total,0.683971445255955,1.4620493398314,1051.2005518947,0.000362021059990598,2903700
ALB,Hybrid,Total,0.606611458464925,1.64850166617454,1354.15557341935,0.000466355192829614,2903700
ALB,Hybrid,Total,0.535592871578157,1.8670898233829,1744.42195042375,0.000600758325730534,2903700
ALB,Hybrid,Total,0.470604720595437,2.12492556116891,2247.16273436468,0.000773896316549465,2903700
ALB,Hybrid,Total,0.411336041516555,2.43110230825653,2894.79294472916,0.000996932515318098,2903700
ALB,Hybrid,Total,0.357475870341297,2.79739160868469,3729.06957947702,0.00128424753916624,2903700
ALB,Hybrid,Total,0.308713243069452,3.23925203226551,4803.78396454948,0.00165436648570771,2903700
ALB,Hybrid,Total,0.264737195700807,3.77733093890649,6188.23003600246,0.00213115336846178,2903700
ALB,Hybrid,Total,0.22523676423515,4.43977253622764,7971.6721778254,0.00274534978745235,2903700
ALB,Hybrid,Total,0.18990098467227,5.26590213171246,10269.1006864649,0.00353655704324307,2903700
ALB,Hybrid,Total,0.158418893011953,6.31237841009626,13228.6459548718,0.00455578949439398,2903700
ALB,Hybrid,Total,0.130479525253988,7.66403769521254,17041.1294174961,0.00586876379016293,2903700
ALB,Hybrid,Total,0.105771917398162,9.45430530710389,21952.3670687477,0.00756013605701267,2903700
ALB,Hybrid,Total,0.0845594493454897,11.8259994328279,28279.0188440366,0.00973896023832923,2903700
ALB,Hybrid,Total,0.0671539510979251,14.8911565686103,36429.0057776899,0.0125457195225712,2903700
