iso3,analysis_type,hazard,aad,population,aad_over_pop
MOZ,Prospective,Earthquake,4353.67,28751362,0.000151424826413441
MOZ,Prospective,Flood,49012.8,28751362,0.00170471228458673
MOZ,Prospective,Storm,2106.4,28751362,0.0000732626162197116
MOZ,Prospective,Tsunami,0.15,28751362,0.00000000521714414781463
MOZ,Prospective,Wind,12228.2,28751362,0.000425308547122046
MOZ,Retrospective,Hydrometeorological,117820,28751362,0.00409789282330347
MOZ,Retrospective,Landslides,37.2857,28751362,0.00000129683247701448
MOZ,Retrospective,Tectonic,71.381,28751362,0.00000248269977610104
MOZ,Retrospective,Total,117928,28751362,0.00410164916708989
MOZ,Hybrid,Total,120291,28751362,0.00418383657789847
MRT,Prospective,Earthquake,49.92,4166463,0.0000119813856501306
MRT,Prospective,Flood,5477.77,4166463,0.00131472906395665
MRT,Prospective,Tsunami,0.34,4166463,0.0000000816039888029727
MUS,Prospective,Storm,3268.8,1277459,0.00255882967672544
MUS,Prospective,Tsunami,0.02,1277459,0.0000000156560797645952
MUS,Prospective,Wind,491.31,1277459,0.000384599427457163
MUS,Retrospective,Hydrometeorological,46.9474,1277459,0.0000367506119570178
MUS,Retrospective,Landslides,1.78947,1277459,0.00000140080425281751
MUS,Retrospective,Total,48.7368,1277459,0.0000381513614135561
MUS,Hybrid,Total,3320,1277459,0.0025989092409228
MWI,Prospective,Earthquake,6205.07,17749826,0.000349584835366837
MWI,Prospective,Flood,28994,17749826,0.0016334808014456
NAM,Prospective,Earthquake,143.15,2513981,0.0000569415600197456
NAM,Prospective,Flood,3453.45,2513981,0.00137369773279909
NAM,Prospective,Tsunami,0.41,2513981,0.000000163087946965391
NER,Prospective,Flood,29777.4,20715285,0.00143746031010435
NER,Retrospective,Hydrometeorological,35214.1,20715285,0.00169990902852652
NER,Retrospective,Total,35214.1,20715285,0.00169990902852652
NER,Hybrid,Total,69552,20715285,0.00335752078718685
NGA,Prospective,Earthquake,5038.81,186987563,0.0000269473002330107
NGA,Prospective,Flood,164526,186987563,0.000879876700676611
NGA,Prospective,Tsunami,0.56,186987563,0.00000000299485158807059
RWA,Prospective,Earthquake,9514.59,11882766,0.000800704987374152
RWA,Prospective,Flood,16400.5,11882766,0.00138019212025214
SDN,Prospective,Earthquake,806.23,41175541,0.0000195803134681339
SDN,Prospective,Flood,59014.3,41175541,0.00143323678491559
SEN,Prospective,Earthquake,274.71,15589485,0.0000176214929486125
SEN,Prospective,Flood,4419.48,15589485,0.000283491083894048
SEN,Prospective,Tsunami,3.75,15589485,0.000000240546753148035
SEN,Retrospective,Hydrometeorological,219.2,15589485,0.0000140607595440132
SEN,Retrospective,Total,219.2,15589485,0.0000140607595440132
SEN,Hybrid,Total,4738,15589485,0.000303922804377438
SLE,Prospective,Earthquake,166.38,6592102,0.0000252392939308281
SLE,Prospective,Flood,10177.9,6592102,0.00154395365848405
SLE,Prospective,Tsunami,0.1,6592102,0.0000000151696681877799
SLE,Retrospective,Hydrometeorological,1641.1,6592102,0.000248949424629655
SLE,Retrospective,Landslides,23.1,6592102,0.00000350419335137715
SLE,Retrospective,Total,1664.2,6592102,0.000252453617981032
SLE,Hybrid,Total,12906,6592102,0.00195779737631487
SOM,Prospective,Earthquake,176.2,11079013,0.0000159039437899387
SOM,Prospective,Flood,26360.9,11079013,0.00237935455080701
SOM,Prospective,Storm,0.04,11079013,0.00000000361042991826077
SOM,Prospective,Tsunami,0.16,11079013,0.0000000144417196730431
STP,Prospective,Earthquake,4.7,194390,0.0000241781984669993
SWZ,Prospective,Earthquake,561.76,1304063,0.000430776733946136
SWZ,Prospective,Flood,1384.86,1304063,0.00106195789620593
SYC,Prospective,Wind,0.01,97026,0.000000103065157792757
SYC,Retrospective,Hydrometeorological,0.884615,97026,0.00000911729845608394
SYC,Retrospective,Landslides,0.769231,97026,0.00000792809143940799
SYC,Retrospective,Tectonic,5.69231,97026,0.0000586678828355286
SYC,Retrospective,Total,7.34615,97026,0.0000757132108919259
TCD,Prospective,Earthquake,70.62,14496739,0.00000487144039773359
TCD,Prospective,Flood,19311.9,14496739,0.0013321547694278
TGO,Prospective,Earthquake,31.05,7496833,0.00000414174892251168
TGO,Prospective,Flood,5336.81,7496833,0.00071187526786311
TGO,Retrospective,Hydrometeorological,13141.3,7496833,0.00175291353028672
TGO,Retrospective,Landslides,16.8571,7496833,0.00000224856282646285
TGO,Retrospective,Total,13158.1,7496833,0.00175515447656364
TGO,Hybrid,Total,20753,7496833,0.00276823560028615
TUN,Prospective,Earthquake,4134.73,11375220,0.000363485717199316
TUN,Prospective,Flood,2393.17,11375220,0.000210384502453579
TUN,Prospective,Tsunami,20.21,11375220,0.00000177666893475467
TUN,Retrospective,Hydrometeorological,4.75,11375220,0.000000417574341419331
TUN,Retrospective,Landslides,1.7,11375220,0.000000149447659034287
TUN,Retrospective,Total,6.45,11375220,0.000000567022000453618
TZA,Prospective,Earthquake,21443.4,55155473,0.000388781000935302
TZA,Prospective,Flood,47688.6,55155473,0.000864621358609326
TZA,Prospective,Tsunami,0.01,55155473,0.000000000181305670245997
UGA,Prospective,Earthquake,16318,40322768,0.000404684519673848
UGA,Prospective,Flood,24538.9,40322768,0.000608561892378023
UGA,Retrospective,Hydrometeorological,9410.38,40322768,0.000233376339640175
UGA,Retrospective,Landslides,685.458,40322768,0.0000169992794145481
UGA,Retrospective,Total,10095.8,40322768,0.000250374676659102
UGA,Hybrid,Total,32833,40322768,0.000814254616647349
ZAF,Prospective,Earthquake,25121.2,54978907,0.000456924325541794
ZAF,Prospective,Flood,33193.6,54978907,0.000603751544205853
ZAF,Prospective,Tsunami,4.41,54978907,0.0000000802125804356205
ZMB,Prospective,Earthquake,4595.76,16717332,0.000274909895909228
ZMB,Prospective,Flood,8574.4,16717332,0.000512904810408742
ZWE,Prospective,Earthquake,2559.43,15966810,0.000160296890862984
ZWE,Prospective,Flood,10352.5,15966810,0.000648376225432632
ZWE,Prospective,Wind,0.07,15966810,0.0000000043840942555213
AFG,Prospective,Earthquake,67300.5,33369945,0.00201679984788707
AFG,Prospective,Flood,50807.9,33369945,0.00152256469107156
AUS,Prospective,Earthquake,75.73,24309330,0.00000311526479750779
AUS,Prospective,Flood,19801.9,24309330,0.000814580245527129
AUS,Prospective,Storm,3238.94,24309330,0.000133238554908753
AUS,Prospective,Tsunami,80.59,24309330,0.00000331518803685663
AUS,Prospective,Wind,520.34,24309330,0.0000214049502804067
BGD,Prospective,Earthquake,31714,162910864,0.00019467087228756
