,iso3,analysis_type,hazard,aad
154,BRN,Prospective,Earthquake,30.0
155,BRN,Prospective,Flood,136.04
156,BRN,Prospective,Tsunami,2.11
157,BTN,Prospective,Earthquake,322.56
158,BTN,Prospective,Flood,3757.59
159,CHN,Prospective,Earthquake,191559.19
160,CHN,Prospective,Flood,466593.75
161,CHN,Prospective,Storm,184217.19
162,CHN,Prospective,Tsunami,5051.96
163,CHN,Prospective,Wind,1545.89
164,FJI,Prospective,Earthquake,65.7
165,FJI,Prospective,Storm,3147.27
166,FJI,Prospective,Tsunami,0.92
167,FJI,Prospective,Wind,1808.19
168,FSM,Prospective,Earthquake,4.3
169,FSM,Prospective,Storm,128.89
170,FSM,Prospective,Tsunami,2.05
171,FSM,Prospective,Wind,172.09
172,HKG,Prospective,Earthquake,9.25
173,HKG,Prospective,Tsunami,1624.89
174,HKG,Prospective,Wind,1.29
175,IDN,Prospective,Earthquake,49024.28
176,IDN,Prospective,Flood,239573.08
177,IDN,Prospective,Storm,16.35
178,IDN,Prospective,Tsunami,3178.58
179,IDN,Prospective,Wind,2.22
180,IND,Prospective,Earthquake,58233.09
181,IND,Prospective,Flood,1381335.07
182,IND,Prospective,Storm,26161.44
183,IND,Prospective,Tsunami,2613.64
184,IND,Prospective,Wind,171316.67
185,IRN,Prospective,Earthquake,116660.18
186,IRN,Prospective,Flood,24024.34
187,IRN,Prospective,Storm,0.18
188,IRN,Prospective,Tsunami,7.62
189,JPN,Prospective,Earthquake,30176.97
190,JPN,Prospective,Flood,10242.52
191,JPN,Prospective,Storm,87402.93
192,JPN,Prospective,Tsunami,15842.62
193,JPN,Prospective,Wind,2955.31
194,KAZ,Prospective,Earthquake,5826.4
195,KAZ,Prospective,Flood,10165.06
196,KGZ,Prospective,Earthquake,16282.72
197,KGZ,Prospective,Flood,10165.34
198,KHM,Prospective,Earthquake,0.01
199,KHM,Prospective,Flood,179153.62
200,KIR,Prospective,Tsunami,1.33
201,KOR,Prospective,Earthquake,69.77
202,KOR,Prospective,Flood,15306.19
203,KOR,Prospective,Storm,70562.59
204,KOR,Prospective,Tsunami,9.98
205,KOR,Prospective,Wind,0.02
206,LAO,Prospective,Earthquake,1671.76
207,LAO,Prospective,Flood,77810.67
208,LAO,Prospective,Wind,0.29
209,LKA,Prospective,Earthquake,21.58
210,LKA,Prospective,Flood,13585.9
211,LKA,Prospective,Storm,1031.68
212,LKA,Prospective,Tsunami,159.82
213,MAC,Prospective,Earthquake,0.43
214,MAC,Prospective,Tsunami,141.69
215,MDV,Prospective,Earthquake,0.23
216,MDV,Prospective,Tsunami,2.42
217,MHL,Prospective,Tsunami,0.3
218,MHL,Prospective,Wind,4.93
219,MMR,Prospective,Earthquake,4475.03
220,MMR,Prospective,Flood,513796.35
221,MMR,Prospective,Storm,10973.75
222,MMR,Prospective,Tsunami,949.18
223,MMR,Prospective,Wind,2005.59
224,MNG,Prospective,Earthquake,146.33
225,MNG,Prospective,Flood,2393.63
226,MYS,Prospective,Earthquake,115.58
227,MYS,Prospective,Flood,27290.71
228,MYS,Prospective,Tsunami,116.21
229,NCL,Prospective,Earthquake,18.01
230,NCL,Prospective,Storm,1221.38
231,NCL,Prospective,Tsunami,2.2
232,NCL,Prospective,Wind,2260.84
233,NPL,Prospective,Earthquake,5173.75
234,NPL,Prospective,Flood,72706.17
235,NZL,Prospective,Earthquake,35.16
236,NZL,Prospective,Flood,2398.72
237,NZL,Prospective,Storm,294.43
238,NZL,Prospective,Tsunami,86.02
239,PAK,Prospective,Earthquake,50122.23
240,PAK,Prospective,Flood,325291.28
241,PAK,Prospective,Storm,1312.67
242,PAK,Prospective,Tsunami,32.57
243,PAK,Prospective,Wind,19.35
244,PHL,Prospective,Earthquake,52194.02
245,PHL,Prospective,Flood,68734.96
246,PHL,Prospective,Storm,184270.59
247,PHL,Prospective,Tsunami,3479.08
248,PHL,Prospective,Wind,276236.55
249,PLW,Prospective,Earthquake,2.9
250,PLW,Prospective,Storm,26.56
251,PLW,Prospective,Tsunami,1.85
252,PLW,Prospective,Wind,270.83
253,PNG,Prospective,Earthquake,6094.54
254,PNG,Prospective,Flood,21405.1
255,PNG,Prospective,Storm,209.86
256,PNG,Prospective,Tsunami,143.86
257,PNG,Prospective,Wind,31.09
258,PRK,Prospective,Earthquake,3222.26
259,PRK,Prospective,Flood,57796.29
260,PRK,Prospective,Storm,344.8
261,PRK,Prospective,Tsunami,0.09
262,PYF,Prospective,Tsunami,1.25
263,PYF,Prospective,Wind,977.23
264,SGP,Prospective,Earthquake,0.15
265,SLB,Prospective,Earthquake,252.61
266,SLB,Prospective,Storm,1243.92
267,SLB,Prospective,Tsunami,9.89
268,SLB,Prospective,Wind,2155.54
269,THA,Prospective,Earthquake,632.71
270,THA,Prospective,Flood,138438.56
271,THA,Prospective,Storm,0.98
272,THA,Prospective,Tsunami,14.29
273,TJK,Prospective,Earthquake,20817.69
274,TJK,Prospective,Flood,19357.66
275,TKM,Prospective,Earthquake,1973.35
276,TKM,Prospective,Flood,9445.2
277,TLS,Prospective,Earthquake,1265.67
278,TLS,Prospective,Flood,94.35
279,TLS,Prospective,Tsunami,31.74
280,TON,Prospective,Earthquake,153.15
281,TON,Prospective,Tsunami,9.24
282,TON,Prospective,Wind,955.68
283,TUV,Prospective,Tsunami,0.12
284,TWN,Prospective,Earthquake,20453.34
285,TWN,Prospective,Flood,2994.23
286,TWN,Prospective,Storm,42560.78
287,TWN,Prospective,Tsunami,433.72
288,TWN,Prospective,Wind,6130.8
289,UZB,Prospective,Earthquake,36121.76
290,UZB,Prospective,Flood,23351.08
291,VNM,Prospective,Earthquake,347.84
292,VNM,Prospective,Flood,647820.89
293,VNM,Prospective,Storm,18163.34
294,VNM,Prospective,Tsunami,235.51
295,VNM,Prospective,Wind,3421.89
296,VUT,Prospective,Earthquake,372.15
297,VUT,Prospective,Storm,1002.64
298,VUT,Prospective,Tsunami,0.98
299,VUT,Prospective,Wind,1900.76
300,WSM,Prospective,Earthquake,15.69
301,WSM,Prospective,Tsunami,0.84
302,WSM,Prospective,Wind,1065.89
303,ALB,Prospective,Earthquake,1363.92
304,ALB,Prospective,Flood,5231.36
305,ALB,Prospective,Tsunami,6.01
306,AND,Prospective,Earthquake,0.46
307,ARM,Prospective,Earthquake,2700.26
308,ARM,Prospective,Flood,3220.93
309,AUT,Prospective,Earthquake,1346.28
310,AUT,Prospective,Flood,4663.87
311,AZE,Prospective,Earthquake,4495.99
312,AZE,Prospective,Flood,3619.38
313,BEL,Prospective,Earthquake,495.94
314,BEL,Prospective,Flood,1570.13
315,BIH,Prospective,Earthquake,784.18
316,BIH,Prospective,Flood,13954.95
317,BLR,Prospective,Earthquake,1.2
318,BLR,Prospective,Flood,22911.4
319,CHE,Prospective,Earthquake,913.62
320,CHE,Prospective,Flood,3195.46
321,CYP,Prospective,Earthquake,238.79
322,CYP,Prospective,Flood,0.1
323,CYP,Prospective,Tsunami,16.9
324,CZE,Prospective,Earthquake,557.54
325,CZE,Prospective,Flood,4424.31
326,DEU,Prospective,Earthquake,6218.17
327,DEU,Prospective,Flood,19802.54
328,DNK,Prospective,Earthquake,2.2
329,DNK,Prospective,Flood,131.3
330,ESP,Prospective,Earthquake,187.64
331,ESP,Prospective,Flood,14468.29
332,ESP,Prospective,Tsunami,25.29
333,EST,Prospective,Earthquake,4.84
334,EST,Prospective,Flood,764.84
335,FIN,Prospective,Earthquake,1.21
336,FRA,Prospective,Earthquake,1750.63
337,FRA,Prospective,Flood,25838.24
338,FRA,Prospective,Tsunami,0.51
339,FRO,Prospective,Wind,0.45
340,GBR,Prospective,Earthquake,2972.98
341,GBR,Prospective,Flood,10354.24
342,GBR,Prospective,Tsunami,0.1
343,GEO,Prospective,Earthquake,7010.29
344,GEO,Prospective,Flood,4940.18
345,GIB,Prospective,Tsunami,0.03
346,GRC,Prospective,Earthquake,21808.34
347,GRC,Prospective,Flood,952.26
348,GRC,Prospective,Tsunami,70.61
349,HRV,Prospective,Earthquake,1274.86
350,HRV,Prospective,Flood,7468.68
351,HRV,Prospective,Tsunami,0.07
352,HUN,Prospective,Earthquake,866.81
353,HUN,Prospective,Flood,30155.35
354,IRL,Prospective,Earthquake,11.76
355,IRL,Prospective,Flood,1891.83
356,IRL,Prospective,Tsunami,0.21
357,ISL,Prospective,Earthquake,73.89
358,ISR,Prospective,Earthquake,1109.61
359,ISR,Prospective,Flood,51.13
360,ISR,Prospective,Tsunami,50.92
361,ITA,Prospective,Earthquake,28814.37
362,ITA,Prospective,Flood,7194.34
363,ITA,Prospective,Tsunami,23.87
364,LIE,Prospective,Earthquake,9.25
365,LTU,Prospective,Earthquake,4.24
366,LTU,Prospective,Flood,4426.18
367,LUX,Prospective,Earthquake,9.79
368,LUX,Prospective,Flood,37.51
369,LVA,Prospective,Earthquake,1.5
370,LVA,Prospective,Flood,4308.66
371,MDA,Prospective,Earthquake,139.33
372,MDA,Prospective,Flood,13031.57
373,MKD,Prospective,Earthquake,591.05
374,MKD,Prospective,Flood,863.46
375,MLT,Prospective,Earthquake,50.06
376,MLT,Prospective,Tsunami,2.72
377,MNE,Prospective,Earthquake,114.42
378,MNE,Prospective,Flood,559.33
379,MNE,Prospective,Tsunami,0.03
380,NLD,Prospective,Earthquake,463.86
381,NLD,Prospective,Flood,7200.34
382,NOR,Prospective,Earthquake,11.2
383,POL,Prospective,Earthquake,1670.82
384,POL,Prospective,Flood,19692.79
385,PRT,Prospective,Earthquake,14.23
386,PRT,Prospective,Flood,2945.01
387,PRT,Prospective,Tsunami,4.37
388,ROU,Prospective,Earthquake,5612.09
389,ROU,Prospective,Flood,34439.31
390,RUS,Prospective,Earthquake,3343.57
391,RUS,Prospective,Flood,153939.78
392,RUS,Prospective,Storm,212.61
393,RUS,Prospective,Tsunami,54.7
394,SMR,Prospective,Earthquake,16.8
395,SRB,Prospective,Earthquake,3187.7
396,SRB,Prospective,Flood,72176.28
397,SVK,Prospective,Earthquake,291.44
398,SVK,Prospective,Flood,7860.84
399,SVN,Prospective,Earthquake,893.54
400,SVN,Prospective,Flood,862.13
401,SVN,Prospective,Tsunami,0.01
402,SWE,Prospective,Earthquake,10.41
403,SWE,Prospective,Flood,636.07
404,TUR,Prospective,Earthquake,36845.46
405,TUR,Prospective,Flood,14866.42
406,TUR,Prospective,Tsunami,168.45
407,UKR,Prospective,Earthquake,283.93
408,UKR,Prospective,Flood,110582.65
409,ABW,Prospective,Earthquake,98.91
410,ABW,Prospective,Storm,339.41
411,ABW,Prospective,Tsunami,0.28
412,ABW,Prospective,Wind,52.16
413,AIA,Prospective,Earthquake,37.7
414,AIA,Prospective,Storm,249.91
415,AIA,Prospective,Tsunami,0.12
416,AIA,Prospective,Wind,113.1
417,ARG,Prospective,Earthquake,11324.24
418,ARG,Prospective,Flood,28032.95
419,ARG,Prospective,Tsunami,1.59
420,ATG,Prospective,Earthquake,240.39
421,ATG,Prospective,Storm,881.71
422,ATG,Prospective,Tsunami,0.94
423,ATG,Prospective,Wind,1895.47
424,BHS,Prospective,Earthquake,0.06
425,BHS,Prospective,Storm,15043.96
426,BHS,Prospective,Tsunami,0.1
427,BHS,Prospective,Wind,4708.79
428,BLZ,Prospective,Earthquake,62.28
429,BLZ,Prospective,Flood,2338.79
430,BLZ,Prospective,Storm,726.79
431,BLZ,Prospective,Tsunami,0.04
432,BLZ,Prospective,Wind,1030.77
433,BMU,Prospective,Tsunami,0.67
434,BMU,Prospective,Wind,173.35
435,BOL,Prospective,Earthquake,5460.06
436,BOL,Prospective,Flood,20802.52
437,BRA,Prospective,Earthquake,926.29
438,BRA,Prospective,Flood,149461.83
439,BRA,Prospective,Tsunami,11.02
440,BRB,Prospective,Earthquake,238.96
441,BRB,Prospective,Storm,969.13
442,BRB,Prospective,Tsunami,1.01
443,BRB,Prospective,Wind,366.64
444,CHL,Prospective,Earthquake,33174.66
445,CHL,Prospective,Flood,10286.88
446,CHL,Prospective,Tsunami,486.89
447,COL,Prospective,Earthquake,78641.34
448,COL,Prospective,Flood,37821.73
449,COL,Prospective,Storm,2.16
450,COL,Prospective,Tsunami,1196.06
451,COL,Prospective,Wind,3.54
452,CRI,Prospective,Earthquake,3561.78
453,CRI,Prospective,Flood,2231.96
454,CRI,Prospective,Storm,0.54
455,CRI,Prospective,Tsunami,29.06
456,CRI,Prospective,Wind,3.84
457,CUB,Prospective,Earthquake,85.76
458,CUB,Prospective,Flood,617.12
459,CUB,Prospective,Storm,15274.16
460,CUB,Prospective,Tsunami,2.95
461,CUB,Prospective,Wind,4813.92
462,CYM,Prospective,Earthquake,11.15
463,CYM,Prospective,Storm,498.09
464,CYM,Prospective,Tsunami,0.06
465,CYM,Prospective,Wind,1384.92
466,DMA,Prospective,Earthquake,238.65
467,DMA,Prospective,Storm,1150.52
468,DMA,Prospective,Tsunami,0.01
469,DMA,Prospective,Wind,612.13
470,DOM,Prospective,Earthquake,9623.86
471,DOM,Prospective,Flood,6460.38
472,DOM,Prospective,Storm,2892.35
473,DOM,Prospective,Tsunami,19.12
474,DOM,Prospective,Wind,15636.91
475,ECU,Prospective,Earthquake,31184.08
476,ECU,Prospective,Flood,19525.41
477,ECU,Prospective,Tsunami,196.48
478,GLP,Prospective,Earthquake,1183.24
479,GLP,Prospective,Storm,6205.12
480,GLP,Prospective,Tsunami,4.76
481,GLP,Prospective,Wind,4953.63
482,GRD,Prospective,Earthquake,88.8
483,GRD,Prospective,Storm,323.74
484,GRD,Prospective,Tsunami,0.15
485,GRD,Prospective,Wind,135.27
486,GTM,Prospective,Earthquake,25251.27
487,GTM,Prospective,Flood,10543.44
488,GTM,Prospective,Storm,42.61
489,GTM,Prospective,Tsunami,6.98
490,GTM,Prospective,Wind,1.98
491,GUF,Prospective,Earthquake,1.2
492,GUF,Prospective,Flood,832.06
493,GUF,Prospective,Tsunami,0.03
494,GUY,Prospective,Earthquake,0.38
495,GUY,Prospective,Flood,2663.46
496,GUY,Prospective,Tsunami,0.29
497,HND,Prospective,Earthquake,27439.64
498,HND,Prospective,Flood,14304.02
499,HND,Prospective,Storm,327.88
500,HND,Prospective,Tsunami,1.73
501,HND,Prospective,Wind,543.42
502,HTI,Prospective,Earthquake,22336.79
503,HTI,Prospective,Flood,10210.69
504,HTI,Prospective,Storm,3894.39
505,HTI,Prospective,Tsunami,52.46
506,HTI,Prospective,Wind,6588.24
507,JAM,Prospective,Earthquake,997.76
508,JAM,Prospective,Flood,478.78
509,JAM,Prospective,Storm,4203.43
510,JAM,Prospective,Tsunami,4.04
511,JAM,Prospective,Wind,7403.21
512,KNA,Prospective,Earthquake,184.54
513,KNA,Prospective,Storm,282.73
514,KNA,Prospective,Wind,316.25
515,LCA,Prospective,Earthquake,82.22
516,LCA,Prospective,Storm,809.97
517,LCA,Prospective,Tsunami,0.31
518,LCA,Prospective,Wind,408.62
519,MEX,Prospective,Earthquake,18922.48
520,MEX,Prospective,Flood,52076.07
521,MEX,Prospective,Storm,4588.01
522,MEX,Prospective,Tsunami,92.42
523,MEX,Prospective,Wind,7660.82
524,MSR,Prospective,Earthquake,19.22
525,MSR,Prospective,Storm,168.34
526,MSR,Prospective,Wind,58.47
527,MTQ,Prospective,Earthquake,460.55
528,MTQ,Prospective,Storm,1771.77
529,MTQ,Prospective,Tsunami,0.6
530,MTQ,Prospective,Wind,1743.79
531,NIC,Prospective,Earthquake,4108.97
532,NIC,Prospective,Flood,7716.64
533,NIC,Prospective,Storm,387.39
534,NIC,Prospective,Tsunami,2.83
535,NIC,Prospective,Wind,181.25
536,PAN,Prospective,Earthquake,1789.72
537,PAN,Prospective,Flood,1002.42
538,PAN,Prospective,Storm,0.04
539,PAN,Prospective,Tsunami,37.36
540,PER,Prospective,Earthquake,32713.92
541,PER,Prospective,Flood,13378.5
542,PER,Prospective,Tsunami,359.09
543,PRI,Prospective,Earthquake,2524.25
544,PRI,Prospective,Flood,144.74
545,PRI,Prospective,Storm,6108.19
546,PRI,Prospective,Tsunami,76.87
547,PRI,Prospective,Wind,42354.1
548,PRY,Prospective,Earthquake,1.44
549,PRY,Prospective,Flood,9570.34
550,SLV,Prospective,Earthquake,8719.82
551,SLV,Prospective,Flood,1835.2
552,SLV,Prospective,Storm,1.95
553,SLV,Prospective,Tsunami,12.22
554,SUR,Prospective,Earthquake,0.03
555,SUR,Prospective,Flood,2418.45
556,TCA,Prospective,Earthquake,0.66
557,TCA,Prospective,Tsunami,0.51
558,TCA,Prospective,Wind,537.4
559,TTO,Prospective,Earthquake,6413.3
560,TTO,Prospective,Flood,10.97
561,TTO,Prospective,Storm,214.56
562,TTO,Prospective,Tsunami,0.3
563,TTO,Prospective,Wind,28.01
564,URY,Prospective,Earthquake,0.01
565,URY,Prospective,Flood,1503.05
566,URY,Prospective,Tsunami,0.01
567,VCT,Prospective,Earthquake,48.12
568,VCT,Prospective,Storm,727.46
569,VCT,Prospective,Tsunami,0.36
570,VCT,Prospective,Wind,124.07
571,VEN,Prospective,Earthquake,26299.21
572,VEN,Prospective,Flood,7987.64
573,VEN,Prospective,Storm,295.7
574,VEN,Prospective,Tsunami,98.48
575,VEN,Prospective,Wind,25.19
576,VGB,Prospective,Earthquake,77.99
577,VGB,Prospective,Tsunami,0.06
578,VGB,Prospective,Wind,332.61
579,VIR,Prospective,Earthquake,127.38
580,VIR,Prospective,Storm,1735.8
581,VIR,Prospective,Tsunami,0.01
582,VIR,Prospective,Wind,1324.34
583,CAN,Prospective,Earthquake,1127.97
584,CAN,Prospective,Flood,12425.33
585,CAN,Prospective,Tsunami,13.69
586,CAN,Prospective,Wind,384.33
587,USA,Prospective,Earthquake,44226.91
588,USA,Prospective,Flood,40390.44
